Generated by opendatacommunities.org,2014-03-25T13:49:52+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2012-2013

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,All,Housing-Associations,Local-Authority,Private-Enterprise
http://statistics.data.gov.uk/id/statistical-geography/E06000001,E06000001 Hartlepool,130,10,0,120
http://statistics.data.gov.uk/id/statistical-geography/E06000002,E06000002 Middlesbrough,230,60,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000003,E06000003 Redcar and Cleveland,210,20,0,190
http://statistics.data.gov.uk/id/statistical-geography/E06000004,E06000004 Stockton-on-Tees,490,40,0,450
http://statistics.data.gov.uk/id/statistical-geography/E06000005,E06000005 Darlington,100,0,10,80
http://statistics.data.gov.uk/id/statistical-geography/E06000008,E06000008 Blackburn with Darwen,210,50,0,160
http://statistics.data.gov.uk/id/statistical-geography/E06000009,E06000009 Blackpool,0,0,0,0
http://statistics.data.gov.uk/id/statistical-geography/E06000010,"E06000010 Kingston upon Hull, City of",450,0,0,450
http://statistics.data.gov.uk/id/statistical-geography/E06000013,E06000013 North Lincolnshire,180,50,0,130
http://statistics.data.gov.uk/id/statistical-geography/E06000014,E06000014 York,160,30,0,130
http://statistics.data.gov.uk/id/statistical-geography/E06000016,E06000016 Leicester,150,50,0,110
http://statistics.data.gov.uk/id/statistical-geography/E06000018,E06000018 Nottingham,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E06000019,"E06000019 Herefordshire, County of",210,30,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000020,E06000020 Telford and Wrekin,580,110,0,470
http://statistics.data.gov.uk/id/statistical-geography/E06000021,E06000021 Stoke-on-Trent,290,30,0,260
http://statistics.data.gov.uk/id/statistical-geography/E06000022,E06000022 Bath and North East Somerset,280,50,0,240
http://statistics.data.gov.uk/id/statistical-geography/E06000024,E06000024 North Somerset,520,100,0,430
http://statistics.data.gov.uk/id/statistical-geography/E06000025,E06000025 South Gloucestershire,,480,,650
http://statistics.data.gov.uk/id/statistical-geography/E06000026,E06000026 Plymouth,430,100,0,330
http://statistics.data.gov.uk/id/statistical-geography/E06000027,E06000027 Torbay,380,210,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000028,E06000028 Bournemouth,290,30,0,260
http://statistics.data.gov.uk/id/statistical-geography/E06000029,E06000029 Poole,170,0,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000030,E06000030 Swindon,460,80,0,380
http://statistics.data.gov.uk/id/statistical-geography/E06000031,E06000031 Peterborough,660,140,0,520
http://statistics.data.gov.uk/id/statistical-geography/E06000032,E06000032 Luton,80,20,0,70
http://statistics.data.gov.uk/id/statistical-geography/E06000033,E06000033 Southend-on-Sea,130,10,0,120
http://statistics.data.gov.uk/id/statistical-geography/E06000034,E06000034 Thurrock,180,60,0,120
http://statistics.data.gov.uk/id/statistical-geography/E06000035,E06000035 Medway,360,100,0,260
http://statistics.data.gov.uk/id/statistical-geography/E06000036,E06000036 Bracknell Forest,380,50,0,330
http://statistics.data.gov.uk/id/statistical-geography/E06000037,E06000037 West Berkshire,230,60,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000038,E06000038 Reading,200,10,0,190
http://statistics.data.gov.uk/id/statistical-geography/E06000039,E06000039 Slough,200,50,20,120
http://statistics.data.gov.uk/id/statistical-geography/E06000040,E06000040 Windsor and Maidenhead,370,30,0,340
http://statistics.data.gov.uk/id/statistical-geography/E06000041,E06000041 Wokingham,350,80,0,270
http://statistics.data.gov.uk/id/statistical-geography/E06000042,E06000042 Milton Keynes,1270,330,0,930
http://statistics.data.gov.uk/id/statistical-geography/E06000043,E06000043 Brighton and Hove,150,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E06000044,E06000044 Portsmouth,150,50,0,110
http://statistics.data.gov.uk/id/statistical-geography/E06000045,E06000045 Southampton,1140,140,390,610
http://statistics.data.gov.uk/id/statistical-geography/E06000046,E06000046 Isle of Wight,350,80,0,270
http://statistics.data.gov.uk/id/statistical-geography/E06000047,E06000047 County Durham,880,70,0,820
http://statistics.data.gov.uk/id/statistical-geography/E06000048,E06000048 Northumberland,410,70,0,340
http://statistics.data.gov.uk/id/statistical-geography/E06000049,E06000049 Cheshire East,590,70,0,520
http://statistics.data.gov.uk/id/statistical-geography/E06000050,E06000050 Cheshire West and Chester,440,40,0,410
http://statistics.data.gov.uk/id/statistical-geography/E06000052,E06000052 Cornwall,1550,,,
http://statistics.data.gov.uk/id/statistical-geography/E06000053,E06000053 Isles of Scilly,0,0,0,0
http://statistics.data.gov.uk/id/statistical-geography/E06000054,E06000054 Wiltshire,1430,500,0,940
http://statistics.data.gov.uk/id/statistical-geography/E06000055,E06000055 Bedford,590,160,10,430
http://statistics.data.gov.uk/id/statistical-geography/E06000056,E06000056 Central Bedfordshire,1000,150,0,850
http://statistics.data.gov.uk/id/statistical-geography/E07000004,E07000004 Aylesbury Vale,840,240,0,600
http://statistics.data.gov.uk/id/statistical-geography/E07000005,E07000005 Chiltern,170,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000006,E07000006 South Bucks,140,0,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000007,E07000007 Wycombe,360,130,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000008,E07000008 Cambridge,1310,170,0,1140
http://statistics.data.gov.uk/id/statistical-geography/E07000009,E07000009 East Cambridgeshire,180,20,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000010,E07000010 Fenland,220,0,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000011,E07000011 Huntingdonshire,570,70,0,510
http://statistics.data.gov.uk/id/statistical-geography/E07000012,E07000012 South Cambridgeshire,600,90,0,510
http://statistics.data.gov.uk/id/statistical-geography/E07000026,E07000026 Allerdale,270,30,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000027,E07000027 Barrow-in-Furness,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000028,E07000028 Carlisle,210,10,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000029,E07000029 Copeland,120,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000030,E07000030 Eden,150,20,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000031,E07000031 South Lakeland,170,40,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000032,E07000032 Amber Valley,220,30,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000033,E07000033 Bolsover,140,0,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000034,E07000034 Chesterfield,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000035,E07000035 Derbyshire Dales,180,100,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000036,E07000036 Erewash,170,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000037,E07000037 High Peak,70,20,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000038,E07000038 North East Derbyshire,50,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000039,E07000039 South Derbyshire,320,10,0,300
http://statistics.data.gov.uk/id/statistical-geography/E07000040,E07000040 East Devon,730,160,0,570
http://statistics.data.gov.uk/id/statistical-geography/E07000041,E07000041 Exeter,280,50,10,220
http://statistics.data.gov.uk/id/statistical-geography/E07000042,E07000042 Mid Devon,210,70,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000043,E07000043 North Devon,160,50,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000044,E07000044 South Hams,160,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000045,E07000045 Teignbridge,680,150,0,530
http://statistics.data.gov.uk/id/statistical-geography/E07000046,E07000046 Torridge,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000047,E07000047 West Devon,120,30,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000048,E07000048 Christchurch,110,20,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000049,E07000049 East Dorset,160,10,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000050,E07000050 North Dorset,130,60,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000051,E07000051 Purbeck,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000052,E07000052 West Dorset,130,10,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000061,E07000061 Eastbourne,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000062,E07000062 Hastings,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000063,E07000063 Lewes,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000064,E07000064 Rother,190,90,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000065,E07000065 Wealden,720,130,0,590
http://statistics.data.gov.uk/id/statistical-geography/E07000066,E07000066 Basildon,270,60,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000067,E07000067 Braintree,140,60,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000068,E07000068 Brentwood,20,0,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000069,E07000069 Castle Point,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000070,E07000070 Chelmsford,360,240,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000071,E07000071 Colchester,590,110,0,480
http://statistics.data.gov.uk/id/statistical-geography/E07000072,E07000072 Epping Forest,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000073,E07000073 Harlow,90,20,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000074,E07000074 Maldon,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000075,E07000075 Rochford,160,40,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000076,E07000076 Tendring,170,0,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000077,E07000077 Uttlesford,250,,,
http://statistics.data.gov.uk/id/statistical-geography/E07000078,E07000078 Cheltenham,310,80,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000079,E07000079 Cotswold,290,70,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000080,E07000080 Forest of Dean,230,80,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000081,E07000081 Gloucester,390,70,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000082,E07000082 Stroud,360,60,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000083,E07000083 Tewkesbury,330,80,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000084,E07000084 Basingstoke and Deane,480,90,0,390
http://statistics.data.gov.uk/id/statistical-geography/E07000085,E07000085 East Hampshire,390,140,0,250
