Generated by opendatacommunities.org,2014-03-25T13:49:43+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2011-2012

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,All,Housing-Associations,Local-Authority,Private-Enterprise
http://statistics.data.gov.uk/id/statistical-geography/E06000001,E06000001 Hartlepool,190,30,0,160
http://statistics.data.gov.uk/id/statistical-geography/E06000003,E06000003 Redcar and Cleveland,280,100,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000004,E06000004 Stockton-on-Tees,560,50,0,510
http://statistics.data.gov.uk/id/statistical-geography/E06000005,E06000005 Darlington,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E06000007,E06000007 Warrington,650,40,0,610
http://statistics.data.gov.uk/id/statistical-geography/E06000008,E06000008 Blackburn with Darwen,220,40,0,180
http://statistics.data.gov.uk/id/statistical-geography/E06000009,E06000009 Blackpool,40,30,0,10
http://statistics.data.gov.uk/id/statistical-geography/E06000010,"E06000010 Kingston upon Hull, City of",420,0,0,420
http://statistics.data.gov.uk/id/statistical-geography/E06000011,E06000011 East Riding of Yorkshire,410,10,0,410
http://statistics.data.gov.uk/id/statistical-geography/E06000012,E06000012 North East Lincolnshire,220,50,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000013,E06000013 North Lincolnshire,210,0,0,210
http://statistics.data.gov.uk/id/statistical-geography/E06000014,E06000014 York,220,40,0,180
http://statistics.data.gov.uk/id/statistical-geography/E06000016,E06000016 Leicester,700,70,0,630
http://statistics.data.gov.uk/id/statistical-geography/E06000017,E06000017 Rutland,80,10,0,70
http://statistics.data.gov.uk/id/statistical-geography/E06000020,E06000020 Telford and Wrekin,550,110,0,440
http://statistics.data.gov.uk/id/statistical-geography/E06000021,E06000021 Stoke-on-Trent,170,0,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000025,E06000025 South Gloucestershire,,200,,520
http://statistics.data.gov.uk/id/statistical-geography/E06000026,E06000026 Plymouth,560,90,0,470
http://statistics.data.gov.uk/id/statistical-geography/E06000027,E06000027 Torbay,230,0,0,230
http://statistics.data.gov.uk/id/statistical-geography/E06000028,E06000028 Bournemouth,380,50,60,270
http://statistics.data.gov.uk/id/statistical-geography/E06000029,E06000029 Poole,200,0,0,200
