Generated by opendatacommunities.org,2014-03-25T13:48:55+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2010-2011

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,All,Housing-Associations,Local-Authority,Private-Enterprise
http://statistics.data.gov.uk/id/statistical-geography/E06000001,E06000001 Hartlepool,230,90,0,140
http://statistics.data.gov.uk/id/statistical-geography/E06000003,E06000003 Redcar and Cleveland,210,100,0,110
http://statistics.data.gov.uk/id/statistical-geography/E06000004,E06000004 Stockton-on-Tees,500,30,0,470
http://statistics.data.gov.uk/id/statistical-geography/E06000005,E06000005 Darlington,230,0,0,230
http://statistics.data.gov.uk/id/statistical-geography/E06000008,E06000008 Blackburn with Darwen,120,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E06000009,E06000009 Blackpool,90,30,0,70
http://statistics.data.gov.uk/id/statistical-geography/E06000010,"E06000010 Kingston upon Hull, City of",730,80,0,650
http://statistics.data.gov.uk/id/statistical-geography/E06000011,E06000011 East Riding of Yorkshire,660,0,290,370
http://statistics.data.gov.uk/id/statistical-geography/E06000012,E06000012 North East Lincolnshire,310,100,0,210
http://statistics.data.gov.uk/id/statistical-geography/E06000013,E06000013 North Lincolnshire,290,0,0,290
http://statistics.data.gov.uk/id/statistical-geography/E06000014,E06000014 York,500,0,0,500
http://statistics.data.gov.uk/id/statistical-geography/E06000016,E06000016 Leicester,360,20,10,320
http://statistics.data.gov.uk/id/statistical-geography/E06000017,E06000017 Rutland,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E06000018,E06000018 Nottingham,360,80,0,280
http://statistics.data.gov.uk/id/statistical-geography/E06000020,E06000020 Telford and Wrekin,620,90,0,520
http://statistics.data.gov.uk/id/statistical-geography/E06000021,E06000021 Stoke-on-Trent,210,60,0,160
http://statistics.data.gov.uk/id/statistical-geography/E06000022,E06000022 Bath and North East Somerset,540,270,0,270
http://statistics.data.gov.uk/id/statistical-geography/E06000024,E06000024 North Somerset,410,0,0,410
http://statistics.data.gov.uk/id/statistical-geography/E06000025,E06000025 South Gloucestershire,,280,,610
http://statistics.data.gov.uk/id/statistical-geography/E06000026,E06000026 Plymouth,580,120,0,460
http://statistics.data.gov.uk/id/statistical-geography/E06000027,E06000027 Torbay,410,220,0,190
http://statistics.data.gov.uk/id/statistical-geography/E06000029,E06000029 Poole,260,0,0,260
http://statistics.data.gov.uk/id/statistical-geography/E06000030,E06000030 Swindon,710,,,
http://statistics.data.gov.uk/id/statistical-geography/E06000031,E06000031 Peterborough,670,170,0,500
http://statistics.data.gov.uk/id/statistical-geography/E06000032,E06000032 Luton,350,150,0,200
http://statistics.data.gov.uk/id/statistical-geography/E06000033,E06000033 Southend-on-Sea,190,70,0,130
http://statistics.data.gov.uk/id/statistical-geography/E06000035,E06000035 Medway,560,130,0,430
http://statistics.data.gov.uk/id/statistical-geography/E06000036,E06000036 Bracknell Forest,280,30,0,250
http://statistics.data.gov.uk/id/statistical-geography/E06000037,E06000037 West Berkshire,220,10,0,210
http://statistics.data.gov.uk/id/statistical-geography/E06000038,E06000038 Reading,500,60,0,440
http://statistics.data.gov.uk/id/statistical-geography/E06000039,E06000039 Slough,110,40,0,70
http://statistics.data.gov.uk/id/statistical-geography/E06000040,E06000040 Windsor and Maidenhead,170,10,0,170
http://statistics.data.gov.uk/id/statistical-geography/E06000041,E06000041 Wokingham,210,20,0,190
http://statistics.data.gov.uk/id/statistical-geography/E06000042,E06000042 Milton Keynes,1340,460,0,880
http://statistics.data.gov.uk/id/statistical-geography/E06000043,E06000043 Brighton and Hove,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E06000044,E06000044 Portsmouth,470,100,10,360
http://statistics.data.gov.uk/id/statistical-geography/E06000045,E06000045 Southampton,510,90,0,430
http://statistics.data.gov.uk/id/statistical-geography/E06000046,E06000046 Isle of Wight,370,60,0,310
http://statistics.data.gov.uk/id/statistical-geography/E06000047,E06000047 County Durham,1090,300,0,800
http://statistics.data.gov.uk/id/statistical-geography/E06000048,E06000048 Northumberland,480,80,0,400
http://statistics.data.gov.uk/id/statistical-geography/E06000049,E06000049 Cheshire East,330,0,0,330
http://statistics.data.gov.uk/id/statistical-geography/E06000051,E06000051 Shropshire,390,80,0,310
http://statistics.data.gov.uk/id/statistical-geography/E06000052,E06000052 Cornwall,1770,390,0,1380
http://statistics.data.gov.uk/id/statistical-geography/E06000054,E06000054 Wiltshire,1330,390,0,940
http://statistics.data.gov.uk/id/statistical-geography/E06000056,E06000056 Central Bedfordshire,910,270,0,640
http://statistics.data.gov.uk/id/statistical-geography/E07000004,E07000004 Aylesbury Vale,820,340,0,490
http://statistics.data.gov.uk/id/statistical-geography/E07000005,E07000005 Chiltern,120,30,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000006,E07000006 South Bucks,160,0,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000007,E07000007 Wycombe,330,50,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000008,E07000008 Cambridge,160,20,10,130
http://statistics.data.gov.uk/id/statistical-geography/E07000009,E07000009 East Cambridgeshire,370,40,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000010,E07000010 Fenland,280,0,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000011,E07000011 Huntingdonshire,910,100,0,810
http://statistics.data.gov.uk/id/statistical-geography/E07000026,E07000026 Allerdale,170,70,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000027,E07000027 Barrow-in-Furness,30,10,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000028,E07000028 Carlisle,310,110,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000029,E07000029 Copeland,90,20,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000030,E07000030 Eden,100,30,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000031,E07000031 South Lakeland,170,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000032,E07000032 Amber Valley,230,50,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000033,E07000033 Bolsover,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000034,E07000034 Chesterfield,110,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000035,E07000035 Derbyshire Dales,60,30,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000036,E07000036 Erewash,160,20,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000037,E07000037 High Peak,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000038,E07000038 North East Derbyshire,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000039,E07000039 South Derbyshire,290,30,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000040,E07000040 East Devon,340,90,20,240
http://statistics.data.gov.uk/id/statistical-geography/E07000041,E07000041 Exeter,510,80,0,440
http://statistics.data.gov.uk/id/statistical-geography/E07000042,E07000042 Mid Devon,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000043,E07000043 North Devon,150,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000044,E07000044 South Hams,70,20,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000045,E07000045 Teignbridge,370,90,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000046,E07000046 Torridge,310,70,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000047,E07000047 West Devon,150,60,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000048,E07000048 Christchurch,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000049,E07000049 East Dorset,120,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000050,E07000050 North Dorset,300,120,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000051,E07000051 Purbeck,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000052,E07000052 West Dorset,200,0,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000061,E07000061 Eastbourne,150,70,30,50
http://statistics.data.gov.uk/id/statistical-geography/E07000062,E07000062 Hastings,60,30,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000063,E07000063 Lewes,270,80,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000065,E07000065 Wealden,770,130,0,650
http://statistics.data.gov.uk/id/statistical-geography/E07000066,E07000066 Basildon,540,190,0,350
http://statistics.data.gov.uk/id/statistical-geography/E07000067,E07000067 Braintree,260,40,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000068,E07000068 Brentwood,80,20,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000069,E07000069 Castle Point,50,0,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000070,E07000070 Chelmsford,230,30,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000071,E07000071 Colchester,800,140,0,660
http://statistics.data.gov.uk/id/statistical-geography/E07000072,E07000072 Epping Forest,400,130,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000073,E07000073 Harlow,100,20,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000074,E07000074 Maldon,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000075,E07000075 Rochford,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000076,E07000076 Tendring,200,90,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000077,E07000077 Uttlesford,420,100,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000078,E07000078 Cheltenham,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000079,E07000079 Cotswold,430,220,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000080,E07000080 Forest of Dean,230,90,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000081,E07000081 Gloucester,520,130,0,390
http://statistics.data.gov.uk/id/statistical-geography/E07000082,E07000082 Stroud,250,20,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000083,E07000083 Tewkesbury,150,20,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000084,E07000084 Basingstoke and Deane,660,280,0,380
http://statistics.data.gov.uk/id/statistical-geography/E07000085,E07000085 East Hampshire,280,40,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000086,E07000086 Eastleigh,310,60,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000087,E07000087 Fareham,280,30,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000088,E07000088 Gosport,130,80,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000089,E07000089 Hart,180,50,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000090,E07000090 Havant,100,20,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000091,E07000091 New Forest,190,10,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000093,E07000093 Test Valley,380,150,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000094,E07000094 Winchester,650,30,0,620
http://statistics.data.gov.uk/id/statistical-geography/E07000095,E07000095 Broxbourne,110,40,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000096,E07000096 Dacorum,210,40,0,170
